asset,description,buildingcode,buildingname,floor,directions
24806,"PL, BOTTLE FILLER WATER FILTER, Butler College, 1976 Hall",0703_01_H50,1976 Hall,1,1
24807,"PL, BOTTLE FILLER WATER FILTER, Butler College, 1976 Hall",0703_02_H50,1976 Hall,2,2
24808,"PL, BOTTLE FILLER WATER FILTER, Butler College, 1976 Hall",0703_02_S68,1976 Hall,2,2
24809,"PL, BOTTLE FILLER WATER FILTER, Butler College, 1976 Hall",0703_03_S68,1976 Hall,3,3
24810,"PL, BOTTLE FILLER WATER FILTER, Butler College, 1976 Hall",0703_03_H50,1976 Hall,3,3
24532,"PL, BOTTLE FILLER WATER FILTER, Aaron Burr Hall",0013,Aaron Burr Hall,N/A,N/A
24533,"PL, BOTTLE FILLER WATER FILTER, Aaron Burr Hall",0013,Aaron Burr Hall,N/A,N/A
24534,"PL, BOTTLE FILLER WATER FILTER, Aaron Burr Hall",0013,Aaron Burr Hall,N/A,N/A
68981,"PL, BOTTLE FILLER WATER FILTER, Alexander Road, 693",0691_02_T50,"Alexander Road, 693",2,2
69007,"PL, BOTTLE FILLER WATER FILTER, Alexander Road, 693",0691_01_H31,"Alexander Road, 693",1,1
59392,"PL, BOTTLE FILLER WATER FILTER, Alexander Street, 294",0664_01_C15,"Alexander Street, 294",1,1
59393,"PL, BOTTLE FILLER WATER FILTER, Alexander Street, 294",0664_01_C15,"Alexander Street, 294",1,1
59394,"PL, BOTTLE FILLER WATER FILTER, Alexander Street, 294",0664_02_C18,"Alexander Street, 294",2,2
59395,"PL, BOTTLE FILLER WATER FILTER, Alexander Street, 294",0664_02_C18,"Alexander Street, 294",2,2
59396,"PL, BOTTLE FILLER WATER FILTER, Alexander Street, 294",0664_02_E18,"Alexander Street, 294",2,2
67430,"SF-EQ, BOTTLE FILLER WATER FILTER, Andlinger Center",0729_02_ZZ36,Andlinger Center,2,2
67426,"SF-EQ, BOTTLE FILLER WATER FILTER, Andlinger Center",0729_00_AAA35,Andlinger Center,0,0
67428,"SF-EQ, BOTTLE FILLER WATER FILTER, Andlinger Center",0729_1L_ZZ36,Andlinger Center,1L,1L
67427,"SF-EQ, BOTTLE FILLER WATER FILTER, Andlinger Center",0729_00_TT31,Andlinger Center,0,0
67429,"SF-EQ, BOTTLE FILLER WATER FILTER, Andlinger Center",0729_1L_Y53,Andlinger Center,1L,1L
72129,"PL, BOTTLE FILLER WATER FILTER, LCA",0753_06_PP8,Arts Tower,6,6
72119,"PL, BOTTLE FILLER WATER FILTER, Arts Tower, Level 4, Corridor",0753_04_MM8,Arts Tower,4,4
72123,"PL, BOTTLE FILLER WATER FILTER, Arts Tower, Level 2",0753_02_KK10,Arts Tower,2,2
72134,"PL, BOTTLE FILLER WATER FILTER, ""CONCESSION STAND""- LCA",0753_00_EE13,Arts Tower,0,CONCESSION STAND
72348,"PL, BOTTLE FILLER WATER FILTER, LCA",0753_0M_KK9,Arts Tower,M,M
72349,"PL, BOTTLE FILLER WATER FILTER, LCA",0753_02_KK10,Arts Tower,2,2
72121,"PL, BOTTLE FILLER WATER FILTER, LCA",0753_02_KK10,Arts Tower,2,2
72120,"PL, BOTTLE FILLER WATER FILTER, LCA",0753_06_LL9,Arts Tower,6,6
90938,"PL, BOTTLE FILLER WATER FILTER, Baker Hall ""S"", Hallway S400",0686_04_NNNN7,Baker Hall 'S',4,4
90935,"PL, BOTTLE FILLER WATER FILTER, Baker Hall ""S"", Hallway S100",0686_01_LLLL8,Baker Hall 'S',1,1
90937,"PL, BOTTLE FILLER WATER FILTER, Baker Hall ""S"", Hallway S300",0686_03_LLLL8,Baker Hall 'S',3,3
90936,"PL, BOTTLE FILLER WATER FILTER, Baker Hall ""S"", Hallway S200",0686_02_LLLL8,Baker Hall 'S',2,2
54504,"PL, BOTTLE FILLER WATER FILTER, Baker Rink",0041_A_EE7,Baker Rink,A,A
54503,"PL, BOTTLE FILLER WATER FILTER, Baker Rink",0041_A_N4,Baker Rink,A,A
24782,"PL, BOTTLE FILLER WATER FILTER, Baker Rink",0041_01_R7,Baker Rink,1,1
24751,"PL, BOTTLE FILLER WATER FILTER, Berlind Theatre",0645_00_I14,Berlind Theater,0,0
24753,"PL, BOTTLE FILLER WATER FILTER, Berlind Theatre",0645_01_N5,Berlind Theater,1,1
24754,"PL, BOTTLE FILLER WATER FILTER, Berlind Theatre",0645_01_N5,Berlind Theater,1,1
24622,"PL, BOTTLE FILLER WATER FILTER, Blair Hall",0019_A_XX9,Blair Hall,A,A
24617,"PL, BOTTLE FILLER WATER FILTER, Blair Hall",0019_A_AA31,Blair Hall,A,A
24618,"PL, BOTTLE FILLER WATER FILTER, Blair Hall",0019_01_X59,Blair Hall,1,1
24619,"PL, BOTTLE FILLER WATER FILTER, Blair Hall",0019_02_AA11,Blair Hall,2,2
24620,"PL, BOTTLE FILLER WATER FILTER, Blair Hall",0019_02_AA56,Blair Hall,2,2
24621,"PL, BOTTLE FILLER WATER FILTER, Blair Hall",0019_03_DD61,Blair Hall,3,3
24995,"PL, BOTTLE FILLER WATER FILTER, Bloomberg Hall",0627_01_P45,Bloomberg Hall,1,1
24996,"PL, BOTTLE FILLER WATER FILTER, Bloomberg Hall",0627_01_S49,Bloomberg Hall,1,1
24997,"PL, BOTTLE FILLER WATER FILTER, Bloomberg Hall",0627_02_Y20,Bloomberg Hall,2,2
