locationcode,name,lat,long
0861,"Whitehead Road, 200",40.240087030600,-74.727353058100
0819,"Washington Road, 70",40.320754763900,-74.625562215500
0621,"Alexander Road, 755",40.321487508100,-74.634883936400
0685,"Carnegie Center, 701",40.323762338900,-74.649215164800
0691,"Alexander Road, 693",40.324180951600,-74.639357913700
0865,"Overlook Center, 100",40.324886981100,-74.648269320300
0801,Nassau Swim Club,40.330691887100,-74.658682778200
0546,"Alexander Road, 529",40.331604494500,-74.650413551500
0288,"Lawrence Drive, 1",40.332361514800,-74.656511506100
0282,"Lawrence Drive, 4",40.332455833400,-74.657107679800
0283,"Lawrence Drive, 5",40.332704112700,-74.657352330700
0286,"Lawrence Drive, 3",40.332758366100,-74.656598390100
0287,"Lawrence Drive, 6",40.333073289600,-74.657430157200
0285,"Lawrence Drive, 2",40.333135424200,-74.656451989000
0745,Davis Building,40.333141517300,-74.644610883800
0284,"Lawrence Drive, 7",40.333171320400,-74.656929212100
0744,Thompson Building,40.333385762000,-74.644284925700
0746,Springdale Clubhouse,40.333475194100,-74.659543486100
0637,"Lawrence Drive, 14",40.333501957800,-74.657873188100
0743,Meyers Building,40.333628813600,-74.643959469700
0500,"Alexander Street, 413",40.333674997900,-74.654975481800
0643,"Lawrence Drive, 8",40.333824645600,-74.657135145200
0742,Johnstone Building,40.333872900600,-74.643633965800
0638,"Lawrence Drive, 13",40.333897570700,-74.657970431000
0639,"Lawrence Drive, 12",40.334005104800,-74.657563000600
0741,McPartland Building,40.334115641700,-74.643309161500
0642,"Lawrence Drive, 9",40.334238266000,-74.656832072800
0740,Moran Building,40.334362856700,-74.642999851100
0640,"Lawrence Drive, 11",40.334456112200,-74.657412795500
0735,Solar 4,40.334489387700,-74.646321239100
0734,Solar 3,40.334630714000,-74.646321544400
0641,"Lawrence Drive, 10",40.334633431200,-74.656797105000
0805,"Alexander Street, 378",40.334720214100,-74.653997475400
0739,Mullet Building,40.334725723000,-74.643521877700
0738,Bunn Building,40.334896800700,-74.643785392300
0736,Solar 5,40.335298559700,-74.648341581400
0596,"Alexander Street, 350",40.335446043900,-74.654498585000
0767,"Hibben Magie Road, 600",40.336196792200,-74.653986457100
0766,"Hibben Magie Road, 702-724",40.336355727500,-74.653389431500
0595,Helm Building,40.336561226600,-74.655476771700
0732,Solar 1,40.336579054400,-74.646692172500
0733,Solar 2,40.336579259900,-74.646530063100
0768,"Hibben Magie Road, 502-510",40.336643398600,-74.654399507800
0665,"Alexander Street, 306",40.336977002300,-74.655920202100
0765,"Hibben Magie Road, 751",40.336996844200,-74.653141174800
0737,Solar 6,40.336998678400,-74.646256303900
0764,"Hibben Magie Road, 401-413",40.337075055000,-74.653974299100
0664,"Alexander Street, 294",40.337348838500,-74.656091049800
0757,"Lakeside Road, 202-210",40.337412111700,-74.655028390600
0758,"Lakeside Road, 200",40.337416052600,-74.654682983400
0762,"Lemonick Court, 301-315",40.337437483400,-74.653914276700
0763,"Lemonick Court, 351",40.337501962800,-74.653193949200
0438,"Alexander Street, 282",40.337647804400,-74.656480148800
0769,"Lakeside Road, 150",40.337820897000,-74.655330455500
0761,"Hibben Magie Road, 201-215",40.338003586100,-74.653804786700
0756,"Lakeside Road, 102-128",40.338117603000,-74.655124791600
0770,Haaga House,40.338161369300,-74.643901654000
0760,"Taylor Court, 151",40.338187397000,-74.652867056600
0755,"Faculty Road, 125-137",40.338270953400,-74.655584350600
0759,"Taylor Court, 101-111",40.338272957400,-74.653658530600
0822,"Alexander Street, 272",40.338304679800,-74.656787484100
0714,"Alexander Street, 262A",40.338492183700,-74.656844430500
0598,"Alexander Street, 262",40.338737918100,-74.657033463900
0035,Launch House,40.339147317100,-74.650582426500
0617,"Alexander Street, 228",40.339256038700,-74.657589638900
0032,Shea Rowing Center,40.339394615600,-74.650810459200
0469,"Springdale Road, 40",40.339653994800,-74.666424504100
0826,Grounds Storage Shed #2,40.339894694200,-74.653559535000
0031,Wyman House,40.340098367700,-74.665652501200
0825,Grounds Storage Shed #1,40.340127239000,-74.653744159000
0824,Grounds Storage Building,40.340149623700,-74.652859264300
0711,Wyman Cottage,40.340195580900,-74.666242126800
0577,"Lower Harrison Street, 62",40.340294232700,-74.634434182600
0823,GBM Office Trailer,40.340382808300,-74.653158877900
0829,Nursery Greenhouse #4,40.340434622300,-74.635529341700
0828,Nursery Greenhouse #3,40.340597401700,-74.635869159800
0128,Nursery Office,40.340624233800,-74.636155991200
0827,Nursery Greenhouse #2,40.340685294500,-74.635829727300
0129,Nursery Greenhouse #1,40.340758046000,-74.635916526000
0146,Nursery Shed,40.340785287000,-74.636331371100
0033,"Graduate College, Old",40.340833747300,-74.665194605900
0113,"Graduate College, New",40.340950431300,-74.666441955000
0597,Class of 1952 Stadium,40.340963520200,-74.651706232700
0565,Cogeneration Plant,40.341508869000,-74.657228840900
0592,Courtyard Annex,40.341527755100,-74.660545445800
0166,Elm Drive Substation,40.341558055600,-74.657644160600
0114,Tennis Pavilion,40.341671469200,-74.653182365100
0618,West Garage,40.341695817400,-74.658131692000
0412,"Mercer Street, 148",40.341732569200,-74.667159182400
0796,Wawa,40.341792541000,-74.658846845500
0111,Chilled Water Plant,40.341827626700,-74.656646101200
0706,South Guard Gate,40.341960223900,-74.655835565000
0797,Princeton Station,40.342062159000,-74.658896021300
0148,Forbes College Main,40.342171929800,-74.661185886800
0413,"Mercer Street, 146",40.342191233000,-74.667128318300
0789,"Springdale Faculty, Garage #1",40.342202403700,-74.665236222600
0107,MacMillan Building,40.342260371100,-74.656967554500
0563,Springdale Faculty 1912 House,40.342324849700,-74.665048225600
0751,MacMillan Annex,40.342419066400,-74.657009638300
0752,Wallace Dance Building and Theater,40.342420519200,-74.659912981200
0754,Effron Music Building,40.342585590700,-74.659228326200
0790,"Springdale Faculty, Garage #2",40.342656409300,-74.664673203800
0753,Arts Tower,40.342731395900,-74.659701559100
0468,"College Road West, 87",40.342746003300,-74.666128712300
0466,Springdale Faculty Bachelors,40.342760689500,-74.665356959600
0562,Springdale Faculty Winan's House,40.342783782300,-74.664865160800
0044,"Elm Drive, 200",40.342786903300,-74.657066400800
0041,Baker Rink,40.342905007200,-74.657797992800
0147,"Alexander Street, 99",40.342973109800,-74.661322319100
0791,"Springdale Faculty, Garage #3",40.343000210500,-74.665160986400
0125,Sports Pavilion,40.343064597800,-74.653826953500
0442,"Alexander Street, 81",40.343081801100,-74.661651419000
0415,"College Road West, 26",40.343092019600,-74.663345067600
0659,Princeton Neuroscience Institute,40.343126276800,-74.652503222600
0521,Roots Ocean Prime,40.343297183800,-74.659366356600
0127,New South Building,40.343353913500,-74.658879870800
0140,Jadwin Gymnasium,40.343408438000,-74.648647793100
0686,Baker Hall 'S',40.343446339800,-74.658174175500
0627,Bloomberg Hall,40.343454956600,-74.655839647400
0803,Peretsman Scully Hall,40.343458705200,-74.652326682300
0571,"College Road, 20",40.343511671900,-74.662913694700
0673,Baker Hall 'E',40.343545278800,-74.657771776000
0070,Architectural Laboratory,40.343598978500,-74.649935715200
0646,"Alexander Street, 84",40.343621403700,-74.661117274400
0636,Lauritzen Hall,40.343639701800,-74.658313292000
0668,Class of 1981 Hall,40.343673015500,-74.657300126500
0447,"Alexander Street, 80",40.343746979200,-74.661216017800
0645,Berlind Theater,40.343801374300,-74.660413957500
0511,"College Road West, 16",40.343803127100,-74.662708346300
0514,"Alexander Street, 78",40.343837581600,-74.661276317600
0672,Hargadon Hall,40.343888056700,-74.658437281800
0570,"Alexander Street, 75",40.343908664400,-74.661900618400
0510,Dinky Bar and Kitchen,40.343912248800,-74.659629095400
0170,DeNunzio Pool,40.343914089300,-74.647429582900
0543,"Alexander Street, 76",40.343928797600,-74.661401157000
0694,Class of 1967 Hall,40.343991623400,-74.655790274800
0674,Murley-Pivirotto Family Tower,40.344012896300,-74.658370703700
0649,Frick Chemistry Laboratory,40.344035485600,-74.650718315900
0503,"Alexander Street, 69",40.344080411000,-74.662068309600
0670,Wendell Hall 'C',40.344122829700,-74.658043373600
0509,"Alexander Street, 70",40.344153738300,-74.661518045200
0055,McCarter Theatre,40.344176068100,-74.660572240600
0675,Community Hall,40.344190856900,-74.657646204500
0484,"Regatta Row, 20",40.344207134100,-74.639471437400
0449,"Lake Lane, 11",40.344240587700,-74.640612522300
0064,Elementary Particles Lab West,40.344253092800,-74.645934440300
0489,"Regatta Row, 15",40.344253370900,-74.640073524100
0695,Bogle Hall,40.344295630100,-74.655543892300
0110,Caldwell Field House,40.344315090900,-74.648329477700
0693,Yoseloff Hall,40.344317914600,-74.656045174700
0669,Wendell Hall 'B',40.344330189800,-74.658356337300
0073,Sayre Hall Auditorium,40.344391220800,-74.615394173400
0385,"McCosh Circle, 73",40.344394373100,-74.636793127200
0603,Scully Hall,40.344395072600,-74.654757331900
0620,Carl C. Icahn Laboratory,40.344407292900,-74.653296766700
0696,Wilf Hall,40.344413413500,-74.655133403300
0426,"South Harrison Street, 345",40.344436132900,-74.638657890100
0386,"McCosh Circle, 81",40.344439359800,-74.636437554500
0467,"Regatta Row, 12",40.344493918900,-74.639703886900
0081,Sayre Hall 2A,40.344505267600,-74.615636578100
0450,"Lake Lane, 19",40.344517724800,-74.640398948500
0387,"McCosh Circle, 87",40.344524496600,-74.635990213800
0703,1976 Hall,40.344573819600,-74.655476142100
0384,"McCosh Circle, 63",40.344573994000,-74.637296464300
0153,Spelman Halls,40.344603329100,-74.659225250100
0423,"South Harrison Street, 337",40.344663267700,-74.638828868900
0671,Fisher Hall Dorm,40.344671434800,-74.658221470300
0625,RECAP,40.344678169100,-74.614016940200
0160,Wu Hall,40.344712166400,-74.656472235300
0071,Class of 1915 Hall,40.344715534400,-74.656910811800
0403,"Lake Lane, 37",40.344760245500,-74.639858636600
0388,"McCosh Circle, 93",40.344813864100,-74.635688837800
0440,"College Road, 1-14",40.344872652700,-74.661531630600
0355,"Maclean Circle, 32",40.344885077500,-74.632812495200
0465,"South Harrison Street, 329",40.344886793200,-74.639001243300
0099,Wilcox Hall,40.344894738900,-74.656076965000
0356,"Maclean Circle, 38",40.344966555200,-74.633319054700
0163,Thomas Laboratory,40.344976483800,-74.653810320200
0382,"McCosh Circle, 53",40.344984603400,-74.637886930200
0445,"Lake Lane, 45",40.344987063100,-74.639518209800
0141,Jadwin Hall,40.344988837900,-74.651821475700
0092,Class of 1938 Hall,40.345055206700,-74.655380831900
